Patched 5 optimized prompt(s) in memory:
  - followup.next_step.agents.next_step.prompts.SYSTEM_PROMPT (5221c)
  - followup.next_step.agents.next_step.next_step_agent.SYSTEM_PROMPT (5221c)
  - followup.emailer.agents.drafting.prompts.DRAFTING_SYSTEM_PROMPT (596c)
  - followup.profile.prompts.EXTRACTION_INSTRUCTIONS (2635c)
  - followup.profile.synthesis._SYSTEM_PROMPT (1574c)
Model split: orchestrator=gpt-5.4-mini  subagents=qwen3-next-80b
Running all 30 scenarios at concurrency 8 ...

  · ran acknowledgement_no_reply_needed        FAIL (86.6s)
  · ran demo_request_for_executive_review      FAIL (121.6s)
  · ran benchmark_results_disputed             FAIL (147.4s)
  · ran champion_leaving_internal_transfer     PASS (175.2s)
  · ran architecture_review_before_vp_pitch    PASS (198.4s)
  · ran budget_formally_approved               PASS (228.6s)
  · ran executive_sponsor_surfaces_late        FAIL (250.2s)
  · ran competitor_active_in_evaluation        PASS (276.4s)
  · ran finance_deadline_creates_urgency       PASS (234.0s)
  · ran legal_redlines_stall_signature         PASS (208.7s)
  · ran misaddressed_greeting_wrong_rep        PASS (191.7s)
  · ran new_security_owner_joins_late          FAIL (186.9s)
  · ran meeting_request_with_specific_slots    PASS (257.8s)
  · ran historied_account_timeline_slip        PASS (361.8s)
  · ran one_line_pricing_question              FAIL (155.1s)
  · ran long_term_contact_procurement_rhythm   FAIL (351.0s)
  · ran feature_gap_threatens_shortlist        PASS (487.0s)
  · ran pricing_above_approved_budget          FAIL (162.3s)
  · ran renewal_expansion_existing_usage       FAIL (96.7s)
  · ran procurement_takes_over_commercial_thread PASS (121.0s)
  · ran reference_check_from_past_win          FAIL (146.4s)
  · ran poc_positive_one_open_item             FAIL (297.3s)
  · ran security_cleared_proceed_commercial    FAIL (210.4s)
  · ran pilot_results_exceed_target            FAIL (368.6s)
  · ran unknown_sender_no_crm_record           PASS (95.1s)
  · ran technical_blocker_stalls_project       FAIL (185.6s)
  · ran support_escalation_threatens_eval      FAIL (238.3s)
  · ran technical_signoff_complete             FAIL (216.3s)
  · ran vague_checkin_no_deal_signal           FAIL (171.4s)
  · ran security_questionnaire_delay           FAIL (329.0s)
